assembly_name	original_file_name	taxid	organism_name	strain	num_SCG_hits	uniq_SCG_hits	perc_comp	perc_redund
GCF_001010005.1_ASM101000v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010005.1_ASM101000v1_genomic.gbff	442694	Xanthomonas_perforans	GEV993	73	72	98.65	1.35
GCF_001010015.1_ASM101001v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010015.1_ASM101001v1_genomic.gbff	442694	Xanthomonas_perforans	GEV968	73	72	98.65	1.35
GCF_001010025.1_ASM101002v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010025.1_ASM101002v1_genomic.gbff	442694	Xanthomonas_perforans	GEV1001	73	72	98.65	1.35
GCF_001010085.1_ASM101008v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010085.1_ASM101008v1_genomic.gbff	442694	Xanthomonas_perforans	GEV1063	73	72	98.65	1.35
GCF_001010095.1_ASM101009v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010095.1_ASM101009v1_genomic.gbff	456327	Xanthomonas_euvesicatoria	181	74	74	100.00	0.00
GCF_001010415.1_ASM101041v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010415.1_ASM101041v1_genomic.gbff	  TITLE     A phylogenomic and molecular marker based taxonomic framework for	Xanthomonas_pisi_DSM_18956	DSM 18956	40	40	54.05	0.00
GCF_001010105.1_ASM101010v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001010105.1_ASM101010v1_genomic.gbff	442694	Xanthomonas_perforans	TB15	74	73	100.00	1.35
GCF_001013485.1_ASM101348v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001013485.1_ASM101348v1_genomic.gbff	56448	Xanthomonas_arboricola	CFBP 7634	74	74	100.00	0.00
GCF_001013505.1_ASM101350v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001013505.1_ASM101350v1_genomic.gbff	56448	Xanthomonas_arboricola	CFBP 7651	74	74	100.00	0.00
GCF_001013475.1_ASM101347v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001013475.1_ASM101347v1_genomic.gbff	195709	Xanthomonas_arboricola_pv_juglandis	CFBP 2528	74	74	100.00	0.00
GCF_001013495.1_ASM101349v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001013495.1_ASM101349v1_genomic.gbff	195709	Xanthomonas_arboricola_pv_juglandis	CFBP 7179	74	73	100.00	1.35
GCF_001017815.1_ASM101781v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001017815.1_ASM101781v1_genomic.gbff	930166	Pseudomonas_brassicacearum	LZ-4	74	72	100.00	2.70
GCF_001020815.1_ASM102081v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001020815.1_ASM102081v1_genomic.gbff	380021	Pseudomonas_protegens	AU13852	74	73	100.00	1.35
GCF_001021695.1_ASM102169v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001021695.1_ASM102169v1_genomic.gbff	380021	Pseudomonas_protegens	AU20219	74	72	100.00	2.70
GCF_001021915.1_ASM102191v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001021915.1_ASM102191v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	YM15	74	73	100.00	1.35
GCF_001021935.1_ASM102193v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001021935.1_ASM102193v1_genomic.gbff	487909	Xanthomonas_translucens_pv_undulosa	Xtu 4699	73	73	98.65	0.00
GCF_001028285.3_ASM102828v3_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001028285.3_ASM102828v3_genomic.gbff	611301	Xanthomonas_citri_pv_citri	jx-6	74	74	100.00	0.00
GCF_001038675.1_ASM103867v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001038675.1_ASM103867v1_genomic.gbff	1076137	Pectobacterium_brasiliense_ICMP_19477	ICMP 19477	74	74	100.00	0.00
GCF_001037935.1_RhoFas1.0_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001037935.1_RhoFas1.0_genomic.gbff	1828	Rhodococcus_fascians	F7	74	72	100.00	2.70
GCF_001038685.1_ASM103868v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001038685.1_ASM103868v1_genomic.gbff	1076138	Pectobacterium_atrosepticum_ICMP_1526	ICMP 1526	71	71	95.95	0.00
GCF_001023535.1_ASM102353v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001023535.1_ASM102353v1_genomic.gbff	587753	Pseudomonas_chlororaphis	UFB2	74	74	100.00	0.00
GCF_001039065.1_ASM103906v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001039065.1_ASM103906v1_genomic.gbff	2066479	Pectobacterium_peruviense	UGC32	74	74	100.00	0.00
GCF_001039055.1_ASM103905v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001039055.1_ASM103905v1_genomic.gbff	1267545	Pectobacterium_carotovorum_subsp_carotovorum_ICMP_5702	ICMP 5702	74	74	100.00	0.00
GCF_001042735.1_ASM104273v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042735.1_ASM104273v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	CFBP2286	74	74	100.00	0.00
GCF_001042745.1_ASM104274v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042745.1_ASM104274v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	B8-12	74	74	100.00	0.00
GCF_001042775.1_ASM104277v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042775.1_ASM104277v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	BLS279	74	74	100.00	0.00
GCF_001042795.1_ASM104279v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042795.1_ASM104279v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	BXOR1	74	73	100.00	1.35
GCF_001042875.1_ASM104287v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042875.1_ASM104287v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	RS105	74	74	100.00	0.00
GCF_001042815.1_ASM104281v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042815.1_ASM104281v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	CFBP7331	74	74	100.00	0.00
GCF_001042855.1_ASM104285v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042855.1_ASM104285v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	L8	74	74	100.00	0.00
GCF_001042835.1_ASM104283v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001042835.1_ASM104283v1_genomic.gbff	129394	Xanthomonas_oryzae_pv_oryzicola	CFBP7341	74	74	100.00	0.00
GCF_001050515.1_ASM105051v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001050515.1_ASM105051v1_genomic.gbff	1161919	Erwinia_piriflorinigrans_CFBP_5888	CFBP 5888	74	73	100.00	1.35
GCF_001047055.1_ASM104705v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001047055.1_ASM104705v1_genomic.gbff	1219024	Rhodococcus_rhodochrous_NBRC_16069	NBRC 16069	74	73	100.00	1.35
GCF_001043115.1_NCPPB1128_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001043115.1_NCPPB1128_genomic.gbff	1775876	Xanthomonas_sp_NCPPB_1128	NCPPB1128	74	73	100.00	2.70
GCF_001063195.1_ASM106319v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001063195.1_ASM106319v1_genomic.gbff	1575	Leifsonia_xyli	356_LXYL	74	74	100.00	0.00
GCF_001050995.1_ASM105099v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001050995.1_ASM105099v1_genomic.gbff	564066	Ralstonia_solanacearum_IPO1609	IPO1609	67	66	90.54	2.70
GCF_001186415.1_ASM118641v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001186415.1_ASM118641v1_genomic.gbff	340	Xanthomonas_campestris_pv_campestris	ICMP 21080	74	74	100.00	0.00
GCF_001186465.1_ASM118646v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001186465.1_ASM118646v1_genomic.gbff	340	Xanthomonas_campestris_pv_campestris	ICMP 4013	74	72	100.00	2.70
GCF_001187965.2_ASM118796v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001187965.2_ASM118796v2_genomic.gbff	1778540	Dickeya_fangzhongdai	S1	74	74	100.00	0.00
GCF_001187975.2_ASM118797v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001187975.2_ASM118797v2_genomic.gbff	1778540	Dickeya_fangzhongdai	B16	74	74	100.00	0.00
GCF_001065525.1_ASM106552v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001065525.1_ASM106552v1_genomic.gbff	305	Ralstonia_solanacearum	58_RSOL	74	73	100.00	1.35
GCF_001078575.1_ASM107857v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001078575.1_ASM107857v1_genomic.gbff	1676617	Ralstonia_sp_MD27	MD27	74	72	100.00	2.70
GCF_001189025.1_ASM118902v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001189025.1_ASM118902v1_genomic.gbff	146819	Streptomyces_europaeiscabiei	NCPPB 4064	73	70	98.65	4.05
GCF_001189015.1_ASM118901v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001189015.1_ASM118901v1_genomic.gbff	42234	Streptomyces_acidiscabies	NCPPB 4445	74	70	100.00	5.41
GCF_001189905.1_NCPPB2251v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001189905.1_NCPPB2251v2_genomic.gbff	1184256	Xanthomonas_campestris_pv_musacearum_NCPPB_2251	NCPPB 2251	74	74	100.00	0.00
GCF_001237985.1_ASM123798v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001237985.1_ASM123798v1_genomic.gbff	195709	Xanthomonas_arboricola_pv_juglandis	Xaj 417	74	74	100.00	0.00
GCF_001189035.1_ASM118903v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001189035.1_ASM118903v1_genomic.gbff	146820	Streptomyces_stelliscabiei	P3825	74	66	100.00	13.51
GCF_001238575.1_ASM123857v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001238575.1_ASM123857v1_genomic.gbff	180957	Pectobacterium_brasiliense	BD255	74	74	100.00	0.00
GCF_001242945.1_Rhodococcus_sp._311R_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001242945.1_Rhodococcus_sp._311R_genomic.gbff	1617904	Rhodococcus_sp_311R	311R	74	70	100.00	5.41
GCF_001269445.1_ASM126944v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269445.1_ASM126944v1_genomic.gbff	182337	Erwinia_billingiae	OSU19-1	45	42	60.81	4.05
GCF_001263295.1_SUL3v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001263295.1_SUL3v1_genomic.gbff	1701910	Agrobacterium_sp_SUL3	SUL3	74	72	100.00	4.05
GCF_001269465.1_ASM126946v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269465.1_ASM126946v1_genomic.gbff	380021	Pseudomonas_protegens	PF	74	73	100.00	1.35
GCF_001269485.1_ASM126948v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269485.1_ASM126948v1_genomic.gbff	380021	Pseudomonas_protegens	K94.41	74	73	100.00	1.35
GCF_001269495.1_ASM126949v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269495.1_ASM126949v1_genomic.gbff	380021	Pseudomonas_protegens	BRIP	74	73	100.00	1.35
GCF_001269575.1_ASM126957v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269575.1_ASM126957v1_genomic.gbff	587851	Pseudomonas_chlororaphis_subsp_aureofaciens	LMG 1245	74	73	100.00	1.35
GCF_001269595.1_ASM126959v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269595.1_ASM126959v1_genomic.gbff	587851	Pseudomonas_chlororaphis_subsp_aureofaciens	CD	74	73	100.00	1.35
GCF_001269635.1_ASM126963v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269635.1_ASM126963v1_genomic.gbff	930166	Pseudomonas_brassicacearum	TM1A3	74	73	100.00	1.35
GCF_001269725.1_ASM126972v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269725.1_ASM126972v1_genomic.gbff	132476	Pseudomonas_kilonensis	P12	74	73	100.00	1.35
GCF_001269865.1_Xtg-CFBP2053-G1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269865.1_Xtg-CFBP2053-G1_genomic.gbff	134874	Xanthomonas_translucens_pv_graminis	CFBP 2053	74	74	100.00	0.00
GCF_001269755.1_ASM126975v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269755.1_ASM126975v1_genomic.gbff	177989	Pseudomonas_sp_Q12-87	Q12-87	74	73	100.00	1.35
GCF_001269885.1_ASM126988v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269885.1_ASM126988v1_genomic.gbff	132476	Pseudomonas_kilonensis	DSM 13647	74	73	100.00	1.35
GCF_001269905.1_ASM126990v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001269905.1_ASM126990v1_genomic.gbff	47879	Pseudomonas_corrugata	DSM 7228	74	73	100.00	1.35
GCF_001276975.2_ASM127697v2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001276975.2_ASM127697v2_genomic.gbff	347	Xanthomonas_oryzae	NCPPB4346	74	74	100.00	0.00
GCF_001277055.1_XANT004-SEQ-2-ASM-1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001277055.1_XANT004-SEQ-2-ASM-1_genomic.gbff	347	Xanthomonas_oryzae	CIX44	74	73	100.00	1.35
GCF_001270585.1_ASM127058v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001270585.1_ASM127058v1_genomic.gbff	35619	Streptomyces_griseoflavus	NRRL B-1830	73	69	98.65	5.41
GCF_001280205.1_ASM128020v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001280205.1_ASM128020v1_genomic.gbff	1874630	Clavibacter_michiganensis_subsp_capsici	PF008	73	73	98.65	0.00
GCF_001277095.1_XANT003-SEQ-2-ASM-1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001277095.1_XANT003-SEQ-2-ASM-1_genomic.gbff	347	Xanthomonas_oryzae	CFPB1947	74	74	100.00	0.00
GCF_001282885.1_LMG730_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001282885.1_LMG730_genomic.gbff	487906	Xanthomonas_translucens_pv_phlei	NA	73	73	98.65	0.00
GCF_001282765.1_LMG728_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001282765.1_LMG728_genomic.gbff	227946	Xanthomonas_translucens_pv_poae	NA	72	72	97.30	0.00
GCF_001278665.1_ASM127866v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001278665.1_ASM127866v1_genomic.gbff	1441923	Rhodococcus_rhodochrous_KG-21	KG-21	73	71	98.65	2.70
GCF_001293445.1_ASM129344v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293445.1_ASM129344v1_genomic.gbff	340	Xanthomonas_campestris_pv_campestris	17	74	74	100.00	0.00
GCF_001293575.1_PmaYM7930_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293575.1_PmaYM7930_genomic.gbff	59511	Pseudomonas_syringae_pv_maculicola	YM7930	74	73	100.00	1.35
GCF_001293665.1_PsA2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293665.1_PsA2_genomic.gbff	321	Pseudomonas_syringae_pv_syringae	A2	74	73	100.00	1.35
GCF_001293705.1_PsB48_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293705.1_PsB48_genomic.gbff	321	Pseudomonas_syringae_pv_syringae	B48	74	73	100.00	1.35
GCF_001293765.1_PgyLN10_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293765.1_PgyLN10_genomic.gbff	318	Pseudomonas_savastanoi_pv_glycinea	LN10	74	72	100.00	2.70
GCF_001293775.1_Pci0788_9_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293775.1_Pci0788_9_genomic.gbff	81035	Pseudomonas_syringae_pv_cilantro	0788_9	74	74	100.00	0.00
GCF_001293835.1_Pla3988_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293835.1_Pla3988_genomic.gbff	53707	Pseudomonas_amygdali_pv_lachrymans	3988	74	73	100.00	1.35
GCF_001293855.1_Pma90_32_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293855.1_Pma90_32_genomic.gbff	59511	Pseudomonas_syringae_pv_maculicola	90_32	74	73	100.00	1.35
GCF_001293845.1_PlaYM7902_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293845.1_PlaYM7902_genomic.gbff	53707	Pseudomonas_amygdali_pv_lachrymans	YM7902	74	73	100.00	1.35
GCF_001293935.1_Por36_1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293935.1_Por36_1_genomic.gbff	235277	Pseudomonas_coronafaciens_pv_oryzae	36_1	74	73	100.00	1.35
GCF_001293925.1_PmaH7608_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293925.1_PmaH7608_genomic.gbff	59511	Pseudomonas_syringae_pv_maculicola	H7608	74	73	100.00	1.35
GCF_001293985.1_PmyAZ84488_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001293985.1_PmyAZ84488_genomic.gbff	129139	Pseudomonas_amygdali_pv_myricae	AZ84488	74	72	100.00	2.70
GCF_001294025.1_Pph1302A_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294025.1_Pph1302A_genomic.gbff	319	Pseudomonas_savastanoi_pv_phaseolicola	1302A	74	73	100.00	1.35
GCF_001294035.1_PphHB10Y_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294035.1_PphHB10Y_genomic.gbff	319	Pseudomonas_savastanoi_pv_phaseolicola	HB10Y	74	73	100.00	1.35
GCF_001294065.1_PphY5_2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294065.1_PphY5_2_genomic.gbff	319	Pseudomonas_savastanoi_pv_phaseolicola	Y5_2	74	73	100.00	1.35
GCF_001294105.1_PphNPS3121_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294105.1_PphNPS3121_genomic.gbff	319	Pseudomonas_savastanoi_pv_phaseolicola	NPS3121	74	73	100.00	1.35
GCF_001294115.1_PseHC_1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294115.1_PseHC_1_genomic.gbff	86841	Pseudomonas_amygdali_pv_sesami	HC_1	74	72	100.00	2.70
GCF_001294185.1_PmaKN91_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294185.1_PmaKN91_genomic.gbff	59511	Pseudomonas_syringae_pv_maculicola	KN91	74	73	100.00	1.35
GCF_001294165.1_PmaM6_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294165.1_PmaM6_genomic.gbff	698750	Pseudomonas_syringae_pv_maculicola_str_M6	M6	74	73	100.00	1.35
GCF_001294195.1_PgyKN44_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294195.1_PgyKN44_genomic.gbff	318	Pseudomonas_savastanoi_pv_glycinea	KN44	74	73	100.00	1.35
GCF_001294215.1_PmpFTRS_U7805_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294215.1_PmpFTRS_U7805_genomic.gbff	129138	Pseudomonas_amygdali_pv_morsprunorum	FTRS_U7805	74	73	100.00	1.35
GCF_001294265.1_Pseudomonas_syringae_pv._glycinea_BR1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294265.1_Pseudomonas_syringae_pv._glycinea_BR1_genomic.gbff	318	Pseudomonas_savastanoi_pv_glycinea	BR1	74	72	100.00	2.70
GCF_001294275.1_PgyUnB647_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294275.1_PgyUnB647_genomic.gbff	318	Pseudomonas_savastanoi_pv_glycinea	UnB647	74	73	100.00	1.35
GCF_001294305.1_PmaM4a_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001294305.1_PmaM4a_genomic.gbff	59511	Pseudomonas_syringae_pv_maculicola	M4a	74	72	100.00	2.70
GCF_001299555.1_ASM129955v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001299555.1_ASM129955v1_genomic.gbff	305	Ralstonia_solanacearum	UY031	74	73	100.00	2.70
GCF_001304695.1_XAXN-20feb14_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001304695.1_XAXN-20feb14_genomic.gbff	53413	Xanthomonas_axonopodis	DSM 3585	74	74	100.00	0.00
GCF_001305955.1_ASM130595v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001305955.1_ASM130595v1_genomic.gbff	33069	Pseudomonas_viridiflava	DSM 6694	74	73	100.00	1.35
GCF_001306955.1_ASM130695v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001306955.1_ASM130695v1_genomic.gbff	69929	Xanthomonas_arboricola_pv_pruni	IVIA 2626.1	73	73	98.65	0.00
GCF_001306965.1_ASM130696v1_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001306965.1_ASM130696v1_genomic.gbff	56448	Xanthomonas_arboricola	CITA 44	72	72	97.30	0.00
GCF_001373255.1_CFBP7014_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001373255.1_CFBP7014_genomic.gbff	305	Ralstonia_solanacearum	CFBP7014	74	73	100.00	2.70
GCF_001372255.1_B1459_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001372255.1_B1459_genomic.gbff	340	Xanthomonas_campestris_pv_campestris	NA	74	74	100.00	0.00
GCF_001373295.1_RS2_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001373295.1_RS2_genomic.gbff	305	Ralstonia_solanacearum	RS2	74	73	100.00	1.35
GCF_001373275.1_IBSBF1900.fas.gz_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001373275.1_IBSBF1900.fas.gz_genomic.gbff	305	Ralstonia_solanacearum	IBSBF1900	73	72	98.65	1.35
GCF_001373315.1_CFBP3858_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001373315.1_CFBP3858_genomic.gbff	305	Ralstonia_solanacearum	UW181	73	72	98.65	1.35
GCF_001373335.1_CFBP3858_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001373335.1_CFBP3858_genomic.gbff	305	Ralstonia_solanacearum	CFBP3858	72	71	97.30	2.70
GCF_001400125.1_PafICMP4394_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001400125.1_PafICMP4394_genomic.gbff	192087	Pseudomonas_syringae_pv_atrofaciens	ICMP 4394	74	73	100.00	1.35
GCF_001400175.1_PcbICMP2823_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001400175.1_PcbICMP2823_genomic.gbff	86840	Pseudomonas_cannabina	ICMP 2823	74	73	100.00	1.35
GCF_001400185.1_PcdICMP12471_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001400185.1_PcdICMP12471_genomic.gbff	264453	Pseudomonas_syringae_pv_coriandricola	ICMP 12471	74	74	100.00	0.00
GCF_001400345.1_PgcICMP4323_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001400345.1_PgcICMP4323_genomic.gbff	251653	Pseudomonas_coronafaciens_pv_garcae	ICMP 4323	73	71	98.65	2.70
GCF_001400215.1_PceICMP17524_genomic	/home/danimstevens/Documents/Mining_MAMPs/Whole_Genomes_v2/genbank/GCF_001400215.1_PceICMP17524_genomic.gbff	264451	Pseudomonas_syringae_pv_cerasicola	ICMP 17524	73	72	98.65	1.35
